Architecture,Evaluated_Model,Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
MLP_Xiong,xiong_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_175537,Domain_Transfer_MMD,20,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",-0.425,78.2792,2809.5142,684.3929,19569.8,28095.1,34219.6,27294.9,1190.7288,1190.7288,-528244.519,-731864.951
MLP_Xiong,xiong_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_175537,Physics_TTA,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,78.5534,2812.6824,684.946,19638.3,28126.8,34247.3,27337.5,1192.0607,1192.0607,-531951.104,-733048.622
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2118,2.7326,1.1271,53.0,27.3,56.4,45.5,1.3572,1.5636,-6.831,-1.917
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,103.391,459.8288,187.0942,25847.8,4598.3,9354.7,13266.9,250.1046,250.1054,-921526.225,-54694.098
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,103.1357,456.4352,186.5842,25783.9,4564.4,9329.2,13225.8,248.7184,248.7191,-916980.311,-54396.346
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,Domain_Transfer_MMD,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,103.1194,456.7618,186.5767,25779.9,4567.6,9328.8,13225.4,248.8193,248.82,-916691.055,-54391.972
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,103.4103,459.5658,187.057,25852.6,4595.7,9352.9,13267.0,250.0111,250.0118,-921870.475,-54672.379
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2179,2.2654,1.2201,54.5,22.7,61.0,46.0,1.2345,1.3958,-3.895,-1.937
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,6.67,"[1.9, 14.3]",0.0,96.4134,3039.2646,106.585,24103.4,30392.6,5329.3,19941.8,1080.7544,1093.7574,-811154.111,-22302.851
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,FewShot_PEFT,20,10.0,"[0.0, 25.0]",10.0,3.64,"[0.0, 8.7]",-0.297,96.1633,3035.9087,106.1333,24040.8,30359.1,5306.7,19902.2,1079.4017,1092.4224,-806986.11,-22149.237
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,Domain_Transfer_MMD,20,30.0,"[10.0, 50.0]",20.0,10.0,"[4.2, 16.7]",0.054,95.0697,3037.187,105.0919,23767.4,30371.9,5254.6,19798.0,1079.1162,1092.2342,-788278.755,-21867.311
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,96.4937,3038.9421,106.6813,24123.4,30389.4,5334.1,19949.0,1080.7057,1093.7026,-812526.557,-22331.623
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2044,2.9847,1.0374,51.1,29.8,51.9,44.3,1.4088,1.6729,-4.156,-1.517
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,55.4018,437.2284,84.0559,13850.5,4372.3,4202.8,7475.2,192.2287,192.2768,-265017.818,-11062.178
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,55.1638,434.099,83.5802,13791.0,4341.0,4179.0,7437.0,190.9477,190.9959,-262748.009,-10937.491
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,Domain_Transfer_MMD,20,20.0,"[5.0, 40.0]",26.67,11.98,"[2.2, 22.6]",0.094,54.3384,435.2133,82.2219,13584.6,4352.1,4111.1,7349.3,190.5912,190.6625,-255160.638,-10596.161
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,55.4567,436.9279,84.1528,13864.2,4369.3,4207.6,7480.4,192.1791,192.2264,-265534.035,-11087.246
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2129,3.2424,1.0878,53.2,32.4,54.4,46.7,1.5143,1.7283,-4.608,-1.57
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,46.6356,816.242,268.2052,11658.9,8162.4,13410.3,11077.2,377.0276,377.028,-187489.439,-112396.922
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,46.3806,812.8412,267.6935,11595.2,8128.4,13384.7,11036.1,375.6384,375.6389,-185444.957,-111968.467
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,46.3803,812.838,267.6908,11595.1,8128.4,13384.5,11036.0,375.6364,375.6368,-185442.217,-111966.176
MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,46.6543,815.9918,268.2425,11663.6,8159.9,13412.1,11078.5,376.9629,376.9633,-187640.02,-112428.216
MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2305,2.7008,1.1905,57.6,27.0,59.5,48.0,1.3739,1.5996,-4.727,-1.851
MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.618,608.6594,197.28,12404.5,6086.6,9864.0,9451.7,285.1858,285.1864,-212236.854,-60811.545
MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.3632,605.2626,196.7693,12340.8,6052.6,9838.5,9410.6,283.7984,283.799,-210062.401,-60497.092
MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,49.345,604.6506,196.7446,12336.2,6046.5,9837.2,9406.7,283.58,283.5807,-209907.382,-60481.954
MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,Physics_TTA,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.6358,608.3858,197.3165,12408.9,6083.9,9865.8,9452.9,285.1127,285.1133,-212388.923,-60834.081
MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.1953,2.7598,1.1338,48.8,27.6,56.7,44.4,1.3629,1.6268,-3.931,-1.601
MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,6.67,"[1.9, 14.3]",0.0,1.6956,9.0464,12.6838,423.9,90.5,634.2,382.8,7.8086,7.8292,-248.372,-252.602
MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.5102,8.8912,12.2072,377.6,88.9,610.4,358.9,7.5362,7.5576,-197.058,-234.045
MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.3025,8.5905,10.5247,325.6,85.9,526.2,312.6,6.8059,6.8398,-146.913,-175.113
MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.6771,9.0335,12.5985,419.3,90.3,629.9,379.8,7.7697,7.7905,-243.01,-249.235
